District,Headquarter,Latitude,Longitude
New Delhi,Connaught Place,28.63396000000006,77.21979000000005
North Delhi,Alipur,28.798050000000046,77.14425000000006
North West Delhi,Kanjhawala,28.70579374824249,77.00079144605195
West Delhi,Rajouri Garden,28.645620000000065,77.12209000000007
South West  Delhi,Dwarka,28.589950000000044,77.04007000000007
South Delhi,Saket,28.524090000000058,77.20676000000003
Central Delhi,Daryaganj,28.628310000000056,77.24727000000007
North East Delhi,Nand Nagri,28.696690000000046,77.30388000000005
East Delhi,Preet Vihar,28.63906000000003,77.29592000000008
